,幣別,現金匯率_本行買入,現金匯率_本行賣出,即期匯率_本行買入,即期匯率_本行賣出
0,2024/02/19,美金 (USD),31.0,31.67,31.35
1,2024/02/17,美金 (USD),30.985,31.655,31.335
2,2024/02/16,美金 (USD),30.96,31.63,31.31
3,2024/02/15,美金 (USD),31.03,31.7,31.38
4,2024/02/07,美金 (USD),30.95,31.62,31.3
5,2024/02/06,美金 (USD),30.93,31.6,31.28
6,2024/02/05,美金 (USD),30.97,31.64,31.32
7,2024/02/02,美金 (USD),30.835,31.505,31.185
8,2024/02/01,美金 (USD),30.93,31.6,31.28
9,2024/01/31,美金 (USD),30.89,31.56,31.24
10,2024/01/30,美金 (USD),30.74,31.41,31.09
11,2024/01/29,美金 (USD),30.85,31.52,31.2
12,2024/01/26,美金 (USD),30.89,31.56,31.24
13,2024/01/25,美金 (USD),30.91,31.58,31.26
14,2024/01/24,美金 (USD),30.94,31.61,31.29
15,2024/01/23,美金 (USD),30.925,31.595,31.275
16,2024/01/22,美金 (USD),30.94,31.61,31.29
17,2024/01/19,美金 (USD),31.035,31.705,31.385
18,2024/01/18,美金 (USD),31.175,31.845,31.525
19,2024/01/17,美金 (USD),31.19,31.86,31.54
20,2024/01/16,美金 (USD),30.995,31.665,31.345
21,2024/01/15,美金 (USD),30.82,31.49,31.17
22,2024/01/12,美金 (USD),30.725,31.395,31.075
23,2024/01/11,美金 (USD),30.695,31.365,31.045
24,2024/01/10,美金 (USD),30.72,31.39,31.07
25,2024/01/09,美金 (USD),30.62,31.29,30.97
26,2024/01/08,美金 (USD),30.595,31.265,30.945
27,2024/01/05,美金 (USD),30.61,31.28,30.96
28,2024/01/04,美金 (USD),30.595,31.265,30.945
29,2024/01/03,美金 (USD),30.61,31.28,30.96
30,2024/01/02,美金 (USD),30.465,31.135,30.815
31,2023/12/29,美金 (USD),30.305,30.975,30.655
32,2023/12/28,美金 (USD),30.305,30.975,30.655
33,2023/12/27,美金 (USD),30.465,31.135,30.815
34,2023/12/26,美金 (USD),30.655,31.325,31.005
35,2023/12/25,美金 (USD),30.73,31.4,31.08
36,2023/12/22,美金 (USD),30.795,31.465,31.145
37,2023/12/21,美金 (USD),30.87,31.54,31.22
38,2023/12/20,美金 (USD),30.9,31.57,31.25
39,2023/12/19,美金 (USD),30.95,31.62,31.3
40,2023/12/18,美金 (USD),30.91,31.58,31.26
41,2023/12/15,美金 (USD),30.835,31.505,31.185
42,2023/12/14,美金 (USD),30.925,31.595,31.275
43,2023/12/13,美金 (USD),31.115,31.785,31.465
44,2023/12/12,美金 (USD),31.1,31.77,31.45
45,2023/12/11,美金 (USD),31.1,31.77,31.45
46,2023/12/08,美金 (USD),30.97,31.64,31.32
47,2023/12/07,美金 (USD),31.12,31.79,31.47
48,2023/12/06,美金 (USD),31.095,31.765,31.445
49,2023/12/05,美金 (USD),31.08,31.75,31.43
50,2023/12/04,美金 (USD),31.005,31.675,31.355
51,2023/12/01,美金 (USD),31.07,31.74,31.42
52,2023/11/30,美金 (USD),30.855,31.525,31.205
53,2023/11/29,美金 (USD),30.845,31.515,31.195
54,2023/11/28,美金 (USD),31.06,31.73,31.41
55,2023/11/27,美金 (USD),31.16,31.83,31.51
56,2023/11/24,美金 (USD),31.225,31.895,31.575
57,2023/11/23,美金 (USD),31.13,31.8,31.48
58,2023/11/22,美金 (USD),31.195,31.865,31.545
59,2023/11/21,美金 (USD),31.025,31.695,31.375
60,2023/11/20,美金 (USD),31.24,31.91,31.59
61,2023/11/17,美金 (USD),31.45,32.12,31.8
62,2023/11/16,美金 (USD),31.61,32.28,31.96
63,2023/11/15,美金 (USD),31.695,32.365,32.045
64,2023/11/14,美金 (USD),31.94,32.61,32.29
65,2023/11/13,美金 (USD),31.935,32.605,32.285
66,2023/11/10,美金 (USD),31.96,32.63,32.31
67,2023/11/09,美金 (USD),31.865,32.535,32.215
68,2023/11/08,美金 (USD),31.85,32.52,32.2
69,2023/11/07,美金 (USD),31.805,32.475,32.155
70,2023/11/06,美金 (USD),31.75,32.42,32.1
71,2023/11/03,美金 (USD),31.895,32.565,32.245
72,2023/11/02,美金 (USD),31.965,32.635,32.315
73,2023/11/01,美金 (USD),32.085,32.755,32.435
