,日期,即期匯率_本行買入,即期匯率_本行賣出
73,2023/11/01,32.435,32.535
72,2023/11/02,32.315,32.415
71,2023/11/03,32.245,32.345
70,2023/11/06,32.1,32.2
69,2023/11/07,32.155,32.255
68,2023/11/08,32.2,32.3
67,2023/11/09,32.215,32.315
66,2023/11/10,32.31,32.41
65,2023/11/13,32.285,32.385
64,2023/11/14,32.29,32.39
63,2023/11/15,32.045,32.145
62,2023/11/16,31.96,32.06
61,2023/11/17,31.8,31.9
60,2023/11/20,31.59,31.69
59,2023/11/21,31.375,31.475
58,2023/11/22,31.545,31.645
57,2023/11/23,31.48,31.58
56,2023/11/24,31.575,31.675
55,2023/11/27,31.51,31.61
54,2023/11/28,31.41,31.51
53,2023/11/29,31.195,31.295
52,2023/11/30,31.205,31.305
51,2023/12/01,31.42,31.52
50,2023/12/04,31.355,31.455
49,2023/12/05,31.43,31.53
48,2023/12/06,31.445,31.545
47,2023/12/07,31.47,31.57
46,2023/12/08,31.32,31.42
45,2023/12/11,31.45,31.55
44,2023/12/12,31.45,31.55
43,2023/12/13,31.465,31.565
42,2023/12/14,31.275,31.375
41,2023/12/15,31.185,31.285
40,2023/12/18,31.26,31.36
39,2023/12/19,31.3,31.4
38,2023/12/20,31.25,31.35
37,2023/12/21,31.22,31.32
36,2023/12/22,31.145,31.245
35,2023/12/25,31.08,31.18
34,2023/12/26,31.005,31.105
33,2023/12/27,30.815,30.915
32,2023/12/28,30.655,30.755
31,2023/12/29,30.655,30.755
30,2024/01/02,30.815,30.915
29,2024/01/03,30.96,31.06
28,2024/01/04,30.945,31.045
27,2024/01/05,30.96,31.06
26,2024/01/08,30.945,31.045
25,2024/01/09,30.97,31.07
24,2024/01/10,31.07,31.17
23,2024/01/11,31.045,31.145
22,2024/01/12,31.075,31.175
21,2024/01/15,31.17,31.27
20,2024/01/16,31.345,31.445
19,2024/01/17,31.54,31.64
18,2024/01/18,31.525,31.625
17,2024/01/19,31.385,31.485
16,2024/01/22,31.29,31.39
15,2024/01/23,31.275,31.375
14,2024/01/24,31.29,31.39
13,2024/01/25,31.26,31.36
12,2024/01/26,31.24,31.34
11,2024/01/29,31.2,31.3
10,2024/01/30,31.09,31.19
9,2024/01/31,31.24,31.34
8,2024/02/01,31.28,31.38
7,2024/02/02,31.185,31.285
6,2024/02/05,31.32,31.42
5,2024/02/06,31.28,31.38
4,2024/02/07,31.3,31.4
3,2024/02/15,31.38,31.48
2,2024/02/16,31.31,31.41
1,2024/02/17,31.335,31.435
0,2024/02/19,31.35,31.45
